Maintainers by package:
cockpit              jelly kkoukiou martinpitt mmarusak
fcitx5-mozc          music yanqiyu
gstreamer1-doc       limb wtaymans
kernel               acaringi airlied ajax jcline jforbes jwboyer jwrdegoede linville myoung patrickt sandeen steved
lazarus              suve
lmms                 thm
man-pages-l10n       ljavorsk mfabian nforro
mozilla-ublock-origin rathann
openal-soft          fcami jwrdegoede tdawson
webkitgtk            catanzaro

Packages by maintainer:
acaringi   kernel
airlied    kernel
ajax       kernel
catanzaro  webkitgtk
fcami      openal-soft
jcline     kernel
jelly      cockpit
jforbes    kernel
jwboyer    kernel
jwrdegoede kernel openal-soft
kkoukiou   cockpit
limb       gstreamer1-doc
linville   kernel
ljavorsk   man-pages-l10n
martinpitt cockpit
mfabian    man-pages-l10n
mmarusak   cockpit
music      fcitx5-mozc
myoung     kernel
nforro     man-pages-l10n
patrickt   kernel
rathann    mozilla-ublock-origin
sandeen    kernel
steved     kernel
suve       lazarus
tdawson    openal-soft
thm        lmms
wtaymans   gstreamer1-doc
yanqiyu    fcitx5-mozc
