Maintainers by package:
0ad                  kalev limb pcpa
0ad-data             bruno kalev limb
2048-cli             besser82
3dprinter-udev-rules churchyard
AMF                  slaanesh
Agda-stdlib          petersen
AllegroOGG           jwrdegoede
ArpON                sagarun
CFR                  jvanek
CQRlib               krege
CTML                 dcavalca
CVector              krege
CardManager          jvanek
ClanLib              jwrdegoede
ClanLib06            jwrdegoede
ClanLib1             jwrdegoede
DevIL                jwrdegoede
FAudio               mooninite
FoXlibf              marcindulak
FreeSOLID            martinkg
GLee                 lkundrak
GarminPlugin         besser82
GeographicLib        smani
GraphicsMagick       ixs
Hermes               jwrdegoede
IP2Location          pbiering remi
IQmol                jussilehtola
ImageMagick          kalev luya remi
MUMPS                sagitter
MagicPoint           jwrdegoede
Mars                 mikep scottt
Mayavi               orion
NLopt                fed500
NearTree             krege
OpenColorIO          hobbes1069
OpenMolcas           jussilehtola
QsLog                jussilehtola
QuantLib             spot
R-rpm-macros         qulogic spot
SAASound             jwrdegoede
SDL2_image           fcami ngompa
SDL2_net             ignatenkobrain jonathanspw ngompa
SDL_mng              dulsi
SDL_sound            jonathanspw jwrdegoede robert
SILLY                jwrdegoede
SOIL                 belegdol
Simple-Fuzzer        aconole
TurboGears2          cverna ondrejj
YafaRay              luya slaanesh
abduco               dfateyev linkdupont
academic-admin       mikep
accerciser           kalev mclasen
act                  churchyard
adime                jwrdegoede
admeshgui            churchyard
adobe-source-serif-pro-fonts suraia
aeskeyfind           rebus
afflib               kwizart rebus
aftertheflood-sparks-fonts eclipseo
agedu                jussilehtola
ahven                rombobeorn
aisleriot            mclasen rstrode
akmods               kwizart leigh123linux nvieville siosm slaanesh
akonadi-calendar-tools marcdeop
alchemyquest         dulsi xavierb
alef-fonts           aekoroglu
alfont               jwrdegoede
allegro5             jwrdegoede
allgeyer-fonts       spot
altermime            jorti steve timj
am-utils             iankent
aml                  ngompa wef
ampy                 churchyard
android-tools        van
angband              dherrera
angelscript          limb
ansible-bender       gordonmessmer
ansible-collection-kubernetes-core gotmax23 kevin
ansible-collection-microsoft-sql rmeggins spetros
antlrworks           melmorabity
apache-commons-math  melmorabity spike
apanov-heuristica-fonts aekoroglu
apitrace             smani
apptainer            dwd
apx                  raphgro
archivemount         devos
argbash              sgallagh
args4j               mbooth mizdebsk mkoncek
argtable             nonamedotc pwouters
aria2                neil
ark                  than
arm-none-eabi-binutils-cs mhlavink
arpack               besser82 imcinerney jussilehtola tdawson
arprec               besser82
asahi-scripts        dcavalca ngompa salimma
asdcplib             aekoroglu kwizart slaanesh
aspell-en            jchaloup ljavorsk nforro
aspell-ru            jchaloup ljavorsk nforro
aspell-sk            ondrejj
ast                  orion
asterisk-sounds-core jsmith
atf                  jonathanspw ngompa
atkmm2.36            kalev mclasen
atril                raveit65 robert
attica               marcdeop
audacious-plugins    danfruehauf mschwendt robert
auditwheel           churchyard
automoc              than
autossh              abo fale
avoision             spot
awesome              thm
awesome-vim-colorschemes cn137 rcallicotte
ax25-apps            hobbes1069
badchars             fab
ballz                bruno jwrdegoede
bam                  lkundrak
bash-argsparse       jonathanspw
bats                 harrymichal mikelo2
battray              aarem
bbkeys               filiperosset
bcd                  kwizart
beansbinding         omajid
beanstalkd           gnat
bear-factory         martinkg
beets                gbcox maha mbaldessari
bind-to-tinydns      timj
bio2jack             dtimms
bitcoin-core         slaanesh
bitmap               stevetraylen
bitstream            kwizart
black-hole-solver    shlomif
blackbox             cicku filiperosset
blaze                diehlpk
blobwars             bruno
blogilo              kkofler
blt                  krege sergiopr
bltk                 jskarvad
bluebird             kevin maxamillion
boinc-client         germano
boomaga              martinkg
botan                thm
bouncycastle         ellert mbooth
bpython              maxamillion salimma terjeros
brightnessctl        fale ngompa pjgeorg
bsd-games            jmakey
bsdiff               jnovy salimma
bspwm                pidgornyy
btrfs-fuse           dcavalca salimma
btrfs-heatmap        jorti
budgie-control-center joshstrobl
bugzilla             astra eseyman
build-constraints-rpm-macros salimma
bullet               jonathanspw sharkcz
bumpversion          dcavalca fedepell jonathanspw
bwidget              krege
bwping               alciregi
byteman              jerboaa
bzflag               jmakey
c++-gtk-utils        airwave echevemaster
c-ares               spot
caja                 raveit65 robert
caja-actions         raveit65 robert
can-utils            jkastner linville pbrobinson pmatilai rrendec
capnproto            ngompa
caribou              yselkowitz
cataclysm-dda        dulsi
catalyst             orion
catimg               keesdejong
cava                 larsks
cbios                jwrdegoede
cc1541               besser82
cc65                 besser82 sharkcz
cdlabelgen           rathann
cdogs-sdl            jwrdegoede
cdparanoia           ajax pjones
cegui06              bruno jwrdegoede
cekit                goldmann rnc
cgreen               souryogurt
charliecloud         jogas
check_postgres       devrim
checksec             yanqiyu
chisholm-to-be-continued-fonts aekoroglu
cinnamon             leigh123linux
cinnamon-control-center leigh123linux
cinnamon-desktop     leigh123linux
cinnamon-menus       leigh123linux
cinnamon-screensaver leigh123linux
cinnamon-session     leigh123linux
cinnamon-settings-daemon leigh123linux
cjdns                sdgathman
cjs                  leigh123linux
ckeditor             siwinski
clang13              petersen sergesanspaille
classified-ads       costello
clatd                ingvar
clearlooks-compact-gnome-theme lkundrak
clitest              jonny
clojure              korkeala kushal walters
clojure-core-specs-alpha korkeala
clojure-maven-plugin korkeala
clojure-spec-alpha   korkeala
clthreads            tartina
clucene              limb
clutter              fmuellner kalev mclasen walters
clutter-gst3         amigadave
clutter-gtk          kalev mclasen
cluttermm            rishi
clxclient            tartina
cm_rgb               ausil
cminpack             imcinerney
cmrt                 dcavalca kwizart
coan                 ajax filiperosset
cocot                ueno
code2html            moceap
cogl                 fmuellner kalev mclasen
coin-or-DyLP         sagitter
coin-or-Ipopt        sagitter
coin-or-Vol          sagitter
coldet               jwrdegoede
colm                 filiperosset jtaylor
colorized-logs       kilobyte salimma
comic-neue-fonts     kvolny
common-lisp-controller peter
commoncpp2           smani
compat-flex          pmachata
compat-lua           jwrdegoede moceap remi salimma
compat-tolua++       jwrdegoede
compiz               jskarvad raveit65
compiz-plugins-extra jskarvad
compizconfig-python  jskarvad
comps-extras         ngompa
console-image-viewer jvanek
corectrl             atim
corsix-th            atim
cortado              jwrdegoede
cowpatty             sagarun
cowsay-beefymiracle  ndim wwoods
cpdup                salimma
cpp-httplib          orion pemensik
cppcodec             aekoroglu
cpphs                petersen
cpprest              c72578
cpptest              fcami
cpputest             salimma
cppzmq               qulogic
crossguid            melmorabity
crossguid2           sagitter
crrcsim-addon-models dwrobel
csmith               vmihalko
cstream              ndim
ctan-cm-lgc-fonts    aekoroglu
ctan-kerkis-fonts    aekoroglu
cubeb                mystro256
curlpp               filiperosset
cvise                mpolacek
cwm                  bmeneguele
cxxtools             martinkg
d-din-fonts          ngompa
dSFMT                laxathom nalimilan
daala                kwizart slaanesh
daggy                atim ignatenkobrain milovidov
dahdi-tools          bruno jsmith
dapl                 honli
daq                  marcindulak
darkhttpd            cicku filiperosset
